run_id,block,model_id,benchmark,unit_id,topology,intervention,parameter_method,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system,n_scored_probes,target_id,target_name,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,status,raw_complete
AU003186,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,independent,target_context_memory,none,0.0,0.0,0.8,0.0,0.0,0.8,15,forget01,forget01,4,4,2,2,1.0,0.5,0.3,42,pending,True
AU003187,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,independent,target_context_memory,none,0.0,0.0,0.8,0.0,0.0,0.8,15,forget01,forget01,4,4,2,2,1.0,0.5,0.3,43,pending,True
AU003188,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,independent,target_context_memory,none,0.0,0.0,0.8,0.0,0.0,0.8,15,forget01,forget01,4,4,2,2,1.0,0.5,0.3,44,pending,True
AU003189,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,independent,target_context_memory,none,0.0,0.0,0.8,0.0,0.0,0.8,15,forget01,forget01,4,4,2,2,1.0,0.5,0.3,45,pending,True
AU003190,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,independent,target_context_memory,none,0.0,0.0,1.0,0.0,0.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.3,46,pending,True
AU003191,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,independent,target_context_memory,none,0.0,0.0,0.8,0.0,0.0,0.8,15,forget01,forget01,4,4,2,2,1.0,0.5,0.7,42,pending,True
AU003192,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,independent,target_context_memory,none,0.0,0.0,0.8,0.0,0.0,0.8,15,forget01,forget01,4,4,2,2,1.0,0.5,0.7,43,pending,True
AU003193,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,independent,target_context_memory,none,0.0,0.0,1.0,0.0,0.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.7,44,pending,True
AU003194,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,independent,target_context_memory,none,0.0,0.0,0.8,0.0,0.0,0.8,15,forget01,forget01,4,4,2,2,1.0,0.5,0.7,45,pending,True
AU003195,stochastic_robustness,qwen3_8b,TOFU,tofu_forget01,independent,target_context_memory,none,0.0,0.0,1.0,0.0,0.0,1.0,15,forget01,forget01,4,4,2,2,1.0,0.5,0.7,46,pending,True
